date,geography,geography code,Provision of unpaid care: Provides 10 to 19 hours unpaid care a week,Provision of unpaid care: Provides 19 hours or less unpaid care a week,Provision of unpaid care: Provides 20 to 34 hours unpaid care a week,Provision of unpaid care: Provides 20 to 49 hours unpaid care a week,Provision of unpaid care: Provides 35 to 49 hours unpaid care a week,Provision of unpaid care: Provides 50 or more hours unpaid care a week,Provision of unpaid care: Provides 9 hours or less unpaid care a week,Provision of unpaid care: Provides no unpaid care,Provision of unpaid care: Total: All usual residents aged 5 and over
2021,Barnet 008B,E01000272,15,58,7,10,3,17,43,1282,1367
2021,Barnet 008C,E01000273,15,69,15,29,14,32,54,1450,1580
2021,Barnet 011C,E01000274,30,88,19,41,22,52,58,1655,1836
2021,Barnet 012A,E01000275,16,65,9,17,8,40,49,1525,1647
2021,Barnet 020A,E01000276,31,101,13,23,10,24,70,1303,1451
2021,Barnet 012B,E01000277,15,58,4,17,13,19,43,1457,1551
2021,Barnet 020B,E01000278,18,77,8,25,17,26,59,1273,1401
2021,Barnet 007C,E01000279,21,100,11,20,9,27,79,1175,1322
2021,Barnet 007D,E01000280,23,80,18,23,5,28,57,1144,1275
2021,Barnet 008D,E01000281,11,45,9,21,12,33,34,1535,1634
2021,Barnet 008E,E01000282,17,69,11,27,16,25,52,1576,1697
2021,Barnet 012C,E01000283,13,67,12,16,4,31,54,1191,1305
2021,Barnet 012D,E01000284,18,72,14,37,23,30,54,1580,1719
2021,Barnet 004A,E01000285,24,67,11,27,16,33,43,1298,1425
2021,Barnet 007E,E01000286,15,54,15,29,14,44,39,1495,1622
2021,Barnet 004B,E01000287,17,77,16,44,28,49,60,1382,1552
2021,Barnet 004C,E01000288,19,70,8,21,13,26,51,1354,1471
2021,Barnet 004D,E01000289,25,54,21,39,18,58,29,1342,1493
2021,Barnet 007F,E01000290,25,65,10,26,16,52,40,1416,1559
2021,Barnet 004E,E01000291,23,56,14,31,17,44,33,1334,1465
2021,Barnet 001E,E01000292,16,56,11,18,7,48,40,1347,1469
2021,Barnet 001F,E01000293,25,114,9,16,7,36,89,1523,1689
2021,Barnet 004F,E01000294,23,75,8,29,21,36,52,1567,1707
2021,Barnet 023B,E01000295,19,64,14,27,13,27,45,1395,1513
2021,Barnet 023C,E01000296,11,61,6,18,12,24,50,1543,1646
2021,Barnet 027D,E01000297,8,39,15,24,9,21,31,1246,1330
2021,Barnet 023D,E01000298,9,67,10,25,15,25,58,1492,1609
2021,Barnet 019A,E01000299,25,70,26,41,15,27,45,1895,2033
2021,Barnet 019B,E01000300,14,68,14,26,12,17,54,1438,1549
2021,Barnet 020C,E01000301,25,67,17,27,10,30,42,1278,1402
2021,Barnet 019C,E01000302,22,77,11,22,11,44,55,1541,1684
2021,Barnet 020D,E01000303,23,65,12,20,8,17,42,1296,1398
2021,Barnet 020E,E01000304,10,67,7,16,9,31,57,1355,1469
2021,Barnet 036B,E01000305,20,64,10,22,12,30,44,1420,1536
2021,Barnet 036C,E01000306,15,58,11,25,14,37,43,1715,1835
2021,Barnet 039D,E01000307,18,50,16,41,25,44,32,1414,1549
2021,Barnet 036D,E01000308,15,72,9,38,29,41,57,1788,1939
2021,Barnet 031D,E01000309,23,100,14,42,28,25,77,1783,1950
2021,Barnet 034C,E01000310,17,77,15,24,9,44,60,1930,2075
2021,Barnet 034D,E01000311,11,75,14,20,6,18,64,1515,1628
2021,Barnet 036E,E01000312,19,41,12,29,17,56,22,1539,1665
2021,Barnet 036F,E01000313,17,51,19,28,9,39,34,1672,1790
2021,Barnet 032F,E01000314,25,85,12,23,11,35,60,1925,2068
2021,Barnet 022F,E01000315,20,80,16,42,26,47,60,1466,1635
2021,Barnet 027E,E01000316,30,103,15,33,18,57,73,1953,2146
2021,Barnet 019D,E01000317,22,74,8,25,17,29,52,1378,1506
2021,Barnet 019E,E01000318,23,91,18,43,25,40,68,1691,1865
2021,Barnet 027F,E01000319,20,69,12,21,9,22,49,1216,1328
2021,Barnet 011D,E01000320,20,95,13,24,11,34,75,1676,1829
2021,Barnet 012E,E01000321,16,54,14,27,13,22,38,1753,1856
2021,Barnet 011E,E01000322,17,89,15,36,21,29,72,1590,1744
2021,Barnet 019F,E01000323,27,68,16,30,14,53,41,2106,2257
2021,Barnet 015F,E01000324,26,93,11,24,13,21,67,1613,1751
2021,Bexley 014A,E01000325,18,85,10,19,9,36,67,1413,1553
2021,Bexley 014B,E01000326,9,41,13,23,10,24,32,1177,1265
2021,Bexley 017A,E01000327,15,61,16,30,14,35,46,1420,1546
2021,Bexley 017B,E01000328,24,79,15,28,13,43,55,1403,1553
2021,Bexley 017C,E01000329,19,59,19,28,9,25,40,1465,1577
2021,Bexley 017D,E01000330,12,51,11,22,11,33,39,1455,1561
2021,Bexley 017E,E01000331,25,71,20,35,15,52,46,1403,1561
2021,Bexley 005A,E01000332,8,71,23,36,13,47,63,1356,1510
2021,Bexley 003A,E01000333,17,63,12,32,20,45,46,1635,1775
2021,Bexley 006A,E01000334,25,74,17,48,31,38,49,1418,1578
2021,Bexley 003B,E01000335,15,42,23,40,17,48,27,2367,2497
2021,Bexley 003C,E01000336,23,60,12,30,18,70,37,1685,1845
2021,Bexley 003D,E01000337,21,70,16,30,14,50,49,1453,1603
2021,Bexley 003E,E01000338,21,65,17,31,14,30,44,1625,1751
2021,Bexley 025A,E01000339,19,70,14,26,12,55,51,1376,1527
2021,Bexley 018A,E01000340,16,69,12,33,21,32,53,1334,1468
2021,Bexley 022A,E01000341,22,79,10,25,15,45,57,1326,1475
2021,Bexley 022B,E01000342,15,60,12,25,13,28,45,1333,1446
2021,Bexley 022C,E01000343,15,49,12,27,15,32,34,1321,1429
2021,Bexley 025B,E01000344,17,56,14,26,12,42,39,1389,1513
2021,Bexley 022D,E01000345,20,58,17,25,8,26,38,1172,1281
2021,Bexley 021A,E01000346,15,53,9,17,8,27,38,1390,1487
2021,Bexley 021B,E01000347,9,46,10,17,7,26,37,1329,1418
2021,Bexley 020A,E01000348,19,80,12,21,9,32,61,1304,1437
2021,Bexley 020B,E01000349,23,83,14,26,12,43,60,1464,1616
2021,Bexley 021C,E01000350,19,76,8,27,19,23,57,1270,1396
2021,Bexley 024A,E01000351,19,84,13,23,10,37,65,1358,1502
2021,Bexley 021D,E01000352,21,78,11,24,13,29,57,1398,1529
2021,Bexley 011A,E01000353,24,84,6,15,9,52,60,1433,1584
2021,Bexley 011B,E01000354,21,69,19,45,26,37,48,1267,1418
2021,Bexley 011C,E01000355,17,73,10,25,15,46,56,1228,1372
2021,Bexley 009A,E01000356,20,60,20,28,8,55,40,1331,1474
2021,Bexley 009B,E01000357,21,75,8,15,7,25,54,1218,1333
2021,Bexley 011D,E01000358,20,80,11,26,15,24,60,1447,1577
2021,Bexley 009C,E01000359,12,47,8,15,7,23,35,1112,1197
