date,geography,geography code,Marital and civil partnership status: Divorced or civil partnership dissolved,Marital and civil partnership status: Divorced or civil partnership dissolved: Divorced,Marital and civil partnership status: Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,Marital and civil partnership status: Married or in a registered civil partnership,Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership,Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Same sex,Marital and civil partnership status: Married or in a registered civil partnership: Married,Marital and civil partnership status: Married or in a registered civil partnership: Married: Opposite sex,Marital and civil partnership status: Married or in a registered civil partnership: Married: Same sex,Marital and civil partnership status: Never married and never registered a civil partnership,"Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still married",Marital and civil partnership status: Total: All usual residents aged 16 and over,Marital and civil partnership status: Widowed or surviving civil partnership partner,Marital and civil partnership status: Widowed or surviving civil partnership partner: Surviving partner from civil partnership,Marital and civil partnership status: Widowed or surviving civil partnership partner: Widowed
2021,Hackney 024E,E01001820,96,95,1,302,4,0,4,298,295,3,671,36,1,35,1146,41,0,41
2021,Hackney 024F,E01001821,101,101,0,271,3,2,1,268,266,2,651,40,0,40,1114,51,0,51
2021,Hackney 029C,E01001822,110,109,1,489,6,0,6,483,476,7,750,41,0,41,1419,29,0,29
2021,Hackney 001D,E01001823,57,57,0,518,4,0,4,514,513,1,475,39,0,39,1114,25,0,25
2021,Hackney 004D,E01001824,64,64,0,457,4,4,0,453,445,8,412,28,0,28,1001,40,0,40
2021,Hackney 001E,E01001825,30,30,0,539,2,2,0,537,535,2,253,16,0,16,868,30,0,30
2021,Hackney 004E,E01001826,81,81,0,455,6,6,0,449,446,3,409,28,0,28,1019,46,0,46
2021,Hackney 029D,E01001827,83,82,1,384,0,0,0,384,379,5,616,46,1,45,1181,52,0,52
2021,Hackney 028B,E01001828,123,120,3,409,6,4,2,403,402,1,850,84,0,84,1553,87,0,87
2021,Hackney 009C,E01001829,76,76,0,549,32,22,10,517,506,11,720,18,0,18,1408,45,1,44
2021,Hackney 014C,E01001830,157,156,1,340,0,0,0,340,338,2,1015,38,0,38,1621,71,0,71
2021,Hackney 009D,E01001831,96,96,0,333,7,4,3,326,317,9,998,31,1,30,1505,47,1,46
2021,Hackney 009E,E01001832,64,62,2,416,4,0,4,412,403,9,859,30,3,27,1406,37,1,36
2021,Hackney 014D,E01001833,133,131,2,512,21,4,17,491,483,8,1025,37,2,35,1745,38,0,38
2021,Hackney 014E,E01001834,110,110,0,425,10,0,10,415,409,6,1058,44,0,44,1676,39,0,39
2021,Hackney 014F,E01001835,69,67,2,315,5,0,5,310,295,15,631,23,1,22,1065,27,0,27
2021,Hackney 022A,E01001836,113,111,2,407,6,3,3,401,382,19,971,34,1,33,1566,41,0,41
2021,Hackney 023B,E01001837,81,78,3,366,4,0,4,362,358,4,692,30,1,29,1213,44,0,44
2021,Hackney 019E,E01001838,103,103,0,369,2,2,0,367,367,0,762,41,0,41,1337,62,0,62
2021,Hackney 023C,E01001839,111,111,0,371,12,8,4,359,352,7,1515,44,2,42,2079,38,0,38
2021,Hackney 022B,E01001840,111,111,0,335,1,0,1,334,328,6,721,52,0,52,1285,66,0,66
2021,Hackney 022C,E01001841,83,82,1,327,10,2,8,317,317,0,607,48,0,48,1122,57,0,57
2021,Hackney 023D,E01001842,105,105,0,250,2,2,0,248,241,7,824,37,0,37,1260,44,0,44
2021,Hackney 023E,E01001843,68,68,0,277,2,2,0,275,267,8,581,26,0,26,980,28,0,28
2021,Hackney 022D,E01001844,86,84,2,434,9,0,9,425,420,5,998,41,1,40,1595,36,0,36
2021,Hackney 022E,E01001845,122,122,0,269,8,6,2,261,257,4,789,52,0,52,1286,54,0,54
2021,Hackney 018A,E01001846,109,109,0,236,2,0,2,234,230,4,569,39,1,38,1019,66,0,66
2021,Hackney 018B,E01001847,77,77,0,259,0,0,0,259,255,4,731,31,0,31,1122,24,0,24
2021,Hackney 018C,E01001848,103,102,1,397,2,2,0,395,390,5,987,54,0,54,1602,61,0,61
2021,Hackney 018D,E01001849,116,114,2,407,10,4,6,397,386,11,1470,51,2,49,2068,24,0,24
2021,Hackney 019F,E01001850,123,123,0,365,3,2,1,362,357,5,788,88,2,86,1405,41,0,41
2021,Hammersmith and Fulham 010A,E01001851,77,77,0,523,6,6,0,517,509,8,522,23,0,23,1177,32,0,32
2021,Hammersmith and Fulham 007A,E01001852,103,103,0,373,10,2,8,363,353,10,944,28,0,28,1470,22,0,22
2021,Hammersmith and Fulham 007B,E01001853,98,98,0,425,4,0,4,421,411,10,680,22,0,22,1255,30,0,30
2021,Hammersmith and Fulham 007C,E01001854,118,117,1,399,8,0,8,391,381,10,962,39,1,38,1542,24,2,22
2021,Hammersmith and Fulham 010B,E01001855,96,96,0,439,2,0,2,437,432,5,859,33,0,33,1451,24,0,24
2021,Hammersmith and Fulham 010C,E01001856,101,101,0,427,2,0,2,425,420,5,749,33,0,33,1340,30,0,30
2021,Hammersmith and Fulham 007D,E01001857,129,129,0,345,13,2,11,332,327,5,754,42,0,42,1314,44,0,44
2021,Hammersmith and Fulham 006A,E01001858,109,109,0,341,7,4,3,334,323,11,1024,34,0,34,1552,44,0,44
2021,Hammersmith and Fulham 008A,E01001859,158,157,1,743,4,0,4,739,731,8,1129,53,0,53,2134,51,0,51
2021,Hammersmith and Fulham 006B,E01001860,134,132,2,370,2,0,2,368,364,4,869,44,2,42,1448,31,0,31
2021,Hammersmith and Fulham 006C,E01001861,90,90,0,332,3,1,2,329,325,4,638,37,0,37,1144,47,0,47
2021,Hammersmith and Fulham 005A,E01001862,133,133,0,381,6,0,6,375,362,13,894,50,1,49,1503,45,0,45
2021,Hammersmith and Fulham 006D,E01001863,100,99,1,342,12,2,10,330,330,0,693,19,0,19,1192,38,1,37
2021,Hammersmith and Fulham 006E,E01001864,92,92,0,424,9,0,9,415,406,9,671,26,0,26,1243,30,0,30
2021,Hammersmith and Fulham 008B,E01001865,92,90,2,495,4,2,2,491,487,4,629,20,0,20,1280,44,1,43
2021,Hammersmith and Fulham 012A,E01001866,88,88,0,451,14,6,8,437,426,11,717,22,0,22,1328,50,0,50
2021,Hammersmith and Fulham 012B,E01001867,78,77,1,278,5,1,4,273,269,4,586,17,0,17,1033,74,0,74
2021,Hammersmith and Fulham 012C,E01001868,130,129,1,239,4,0,4,235,230,5,635,36,0,36,1095,55,0,55
2021,Hammersmith and Fulham 010D,E01001869,63,62,1,510,11,4,7,499,494,5,472,11,0,11,1098,42,0,42
2021,Hammersmith and Fulham 012D,E01001870,113,112,1,380,8,2,6,372,367,5,1012,20,1,19,1553,28,0,28
2021,Hammersmith and Fulham 012E,E01001871,94,94,0,437,11,4,7,426,418,8,704,21,0,21,1308,52,1,51
2021,Hammersmith and Fulham 012F,E01001872,74,73,1,370,11,4,7,359,350,9,726,21,0,21,1213,22,0,22
2021,Hammersmith and Fulham 010E,E01001873,94,94,0,362,8,0,8,354,354,0,719,37,2,35,1249,37,1,36
2021,Hammersmith and Fulham 001B,E01001875,100,100,0,467,5,2,3,462,454,8,798,48,0,48,1482,69,0,69
2021,Hammersmith and Fulham 001C,E01001876,161,161,0,589,9,2,7,580,572,8,1177,62,0,62,2049,60,3,57
2021,Hammersmith and Fulham 001D,E01001877,102,100,2,333,2,0,2,331,324,7,645,23,1,22,1150,47,0,47
2021,Hammersmith and Fulham 001E,E01001878,116,116,0,371,3,2,1,368,362,6,721,40,1,39,1308,60,0,60
2021,Hammersmith and Fulham 019A,E01001879,79,79,0,368,7,0,7,361,358,3,731,29,1,28,1253,46,1,45
2021,Hammersmith and Fulham 017A,E01001880,90,89,1,349,18,4,14,331,320,11,757,29,0,29,1271,46,1,45
2021,Hammersmith and Fulham 017B,E01001881,79,78,1,501,17,8,9,484,476,8,988,26,0,26,1639,45,1,44
2021,Hammersmith and Fulham 017C,E01001882,68,67,1,398,3,1,2,395,392,3,909,26,2,24,1433,32,2,30
2021,Hammersmith and Fulham 017D,E01001883,131,130,1,486,7,3,4,479,460,19,942,38,1,37,1649,52,0,52
2021,Hammersmith and Fulham 017E,E01001884,148,147,1,392,5,0,5,387,382,5,971,39,0,39,1604,54,0,54
2021,Hammersmith and Fulham 015A,E01001885,100,100,0,261,2,0,2,259,259,0,594,38,0,38,1042,49,1,48
2021,Hammersmith and Fulham 016A,E01001886,109,109,0,374,6,2,4,368,361,7,770,22,0,22,1321,46,0,46
2021,Hammersmith and Fulham 016B,E01001887,106,106,0,341,2,0,2,339,338,1,725,34,0,34,1258,52,0,52
2021,Hammersmith and Fulham 018A,E01001888,77,77,0,439,4,0,4,435,427,8,779,5,0,5,1349,49,0,49
2021,Hammersmith and Fulham 014A,E01001889,63,62,1,348,10,2,8,338,330,8,747,19,1,18,1206,29,0,29
2021,Hammersmith and Fulham 016C,E01001890,98,96,2,332,6,0,6,326,326,0,1059,29,1,28,1546,28,0,28
2021,Hammersmith and Fulham 018B,E01001891,128,127,1,742,13,2,11,729,719,10,1292,26,0,26,2238,50,3,47
2021,Hammersmith and Fulham 016D,E01001892,85,85,0,305,4,2,2,301,289,12,649,22,0,22,1094,33,0,33
2021,Hammersmith and Fulham 013A,E01001893,98,98,0,344,9,6,3,335,334,1,719,35,1,34,1247,51,0,51
2021,Hammersmith and Fulham 013B,E01001894,104,104,0,284,12,8,4,272,272,0,778,37,1,36,1239,36,1,35
2021,Hammersmith and Fulham 009A,E01001895,108,105,3,431,6,0,6,425,416,9,617,22,0,22,1205,27,0,27
2021,Hammersmith and Fulham 009B,E01001896,76,76,0,385,5,1,4,380,376,4,697,29,1,28,1228,41,0,41
2021,Hammersmith and Fulham 009C,E01001897,72,71,1,445,4,0,4,441,430,11,518,12,0,12,1079,32,0,32
2021,Hammersmith and Fulham 013C,E01001898,101,100,1,517,6,0,6,511,497,14,1150,37,0,37,1828,23,0,23
2021,Hammersmith and Fulham 013D,E01001899,131,129,2,349,9,3,6,340,338,2,800,39,0,39,1368,49,1,48
2021,Hammersmith and Fulham 013E,E01001900,105,105,0,340,4,0,4,336,333,3,920,34,1,33,1455,56,0,56
2021,Hammersmith and Fulham 019B,E01001901,73,72,1,522,3,0,3,519,514,5,697,17,0,17,1334,25,0,25
2021,Hammersmith and Fulham 019C,E01001902,104,104,0,357,9,0,9,348,344,4,962,26,1,25,1487,38,0,38
2021,Hammersmith and Fulham 019D,E01001903,87,87,0,339,5,0,5,334,330,4,724,28,2,26,1224,46,0,46
2021,Hammersmith and Fulham 022A,E01001904,82,81,1,446,7,0,7,439,435,4,807,19,0,19,1380,26,0,26
2021,Hammersmith and Fulham 022B,E01001905,73,72,1,497,4,3,1,493,484,9,740,17,0,17,1380,53,0,53
2021,Hammersmith and Fulham 022C,E01001906,73,73,0,423,4,2,2,419,417,2,661,25,0,25,1204,22,0,22
2021,Hammersmith and Fulham 022D,E01001907,60,60,0,418,5,0,5,413,410,3,495,21,0,21,1022,28,0,28
2021,Hammersmith and Fulham 015B,E01001908,86,86,0,265,16,4,12,249,241,8,878,22,0,22,1269,18,0,18
