date,geography,geography code,Schoolchild or full-time student indicator: Not a student,Schoolchild or full-time student indicator: Student,Schoolchild or full-time student indicator: Total
2021,Barnet 001C,E01000250,2004,469,2473
2021,Barnet 002D,E01000251,1655,467,2122
2021,Barnet 002E,E01000252,1342,277,1619
2021,Barnet 007B,E01000253,1483,374,1857
2021,Barnet 001D,E01000254,1229,306,1535
2021,Barnet 017A,E01000255,1213,396,1609
2021,Barnet 016A,E01000256,1332,467,1799
2021,Barnet 017B,E01000257,1547,385,1932
2021,Barnet 016B,E01000258,1470,314,1784
2021,Barnet 025D,E01000259,1902,562,2464
2021,Barnet 025E,E01000260,1549,445,1994
2021,Barnet 017C,E01000261,1237,461,1698
2021,Barnet 016C,E01000263,1087,334,1421
2021,Barnet 016D,E01000264,1332,347,1679
2021,Barnet 011A,E01000265,1387,400,1787
2021,Barnet 011B,E01000266,1088,281,1369
2021,Barnet 005A,E01000267,1169,272,1441
2021,Barnet 005B,E01000268,1531,399,1930
2021,Barnet 005C,E01000269,1066,256,1322
2021,Barnet 005D,E01000270,1169,291,1460
2021,Barnet 008A,E01000271,1269,289,1558
2021,Barnet 008B,E01000272,1113,254,1367
2021,Barnet 008C,E01000273,1338,242,1580
2021,Barnet 011C,E01000274,1383,455,1838
2021,Barnet 012A,E01000275,1352,292,1644
2021,Barnet 020A,E01000276,1051,400,1451
2021,Barnet 012B,E01000277,1265,288,1553
2021,Barnet 020B,E01000278,1046,356,1402
2021,Barnet 007C,E01000279,1051,270,1321
2021,Barnet 007D,E01000280,1046,228,1274
2021,Barnet 008D,E01000281,1330,302,1632
2021,Barnet 008E,E01000282,1341,358,1699
2021,Barnet 012C,E01000283,1020,281,1301
2021,Barnet 012D,E01000284,1406,312,1718
2021,Barnet 004A,E01000285,1135,289,1424
2021,Barnet 007E,E01000286,1264,359,1623
2021,Barnet 004B,E01000287,1183,367,1550
2021,Barnet 004C,E01000288,1140,332,1472
2021,Barnet 004D,E01000289,1091,402,1493
2021,Barnet 007F,E01000290,1260,299,1559
2021,Barnet 004E,E01000291,1133,334,1467
2021,Barnet 001E,E01000292,1198,268,1466
2021,Barnet 001F,E01000293,1363,324,1687
2021,Barnet 004F,E01000294,1397,305,1702
2021,Barnet 023B,E01000295,1262,250,1512
2021,Barnet 023C,E01000296,1369,280,1649
2021,Barnet 027D,E01000297,1083,247,1330
2021,Barnet 023D,E01000298,1292,318,1610
2021,Barnet 019A,E01000299,1627,406,2033
2021,Barnet 019B,E01000300,1253,297,1550
2021,Barnet 020C,E01000301,1091,311,1402
2021,Barnet 019C,E01000302,1370,314,1684
2021,Barnet 020D,E01000303,1102,294,1396
2021,Barnet 020E,E01000304,1198,272,1470
2021,Barnet 036B,E01000305,1252,284,1536
