date,geography,geography code,Distance travelled to work: 10km to less than 20km,Distance travelled to work: 20km to less than 30km,Distance travelled to work: 2km to less than 5km,Distance travelled to work: 30km to less than 40km,Distance travelled to work: 40km to less than 60km,Distance travelled to work: 5km to less than 10km,Distance travelled to work: 60km and over,Distance travelled to work: Less than 2km,Distance travelled to work: Total: All usual residents aged 16 years and over in employment the week before the census,"Distance travelled to work: Works mainly at an offshore installation, in no fixed place, or outside the UK",Distance travelled to work: Works mainly from home
2021,Redbridge 034G,E01032581,140,46,105,10,6,75,10,69,889,208,220
2021,Lambeth 036E,E01032582,46,6,142,3,8,97,5,176,1242,130,629
2021,Southwark 034D,E01032583,42,8,141,4,3,104,8,159,1107,81,557
2021,Southwark 034E,E01032584,22,5,105,0,4,69,3,96,684,55,325
2021,Sutton 025E,E01032623,65,26,83,5,3,83,9,30,794,78,412
2021,Southwark 035E,E01032637,8,3,106,1,2,26,3,35,778,17,577
2021,Southwark 035D,E01032638,9,3,81,1,1,45,0,43,858,30,645
2021,Southwark 014F,E01032639,26,7,186,3,5,76,7,89,1112,97,616
2021,Southwark 035B,E01032640,15,4,94,0,2,26,2,50,830,32,605
2021,Southwark 036B,E01032646,30,5,123,2,2,61,1,104,1051,50,673
2021,Southwark 014G,E01032719,28,7,138,1,3,84,8,64,811,81,397
2021,City of London 001F,E01032739,14,2,75,1,1,51,12,155,1181,54,816
2021,City of London 001G,E01032740,7,3,57,0,0,31,4,115,927,60,650
2021,Havering 013E,E01032741,89,75,55,10,8,67,7,111,844,157,265
2021,Havering 013F,E01032742,97,83,75,7,4,51,6,107,924,136,358
2021,Ealing 010F,E01032743,142,24,161,3,3,172,6,42,983,217,213
2021,Ealing 010G,E01032744,85,10,117,1,3,138,9,31,647,108,145
2021,Tower Hamlets 004E,E01032764,52,4,161,1,3,184,5,58,1429,99,862
2021,Tower Hamlets 004F,E01032765,49,5,109,4,3,126,2,54,924,91,481
2021,Tower Hamlets 021F,E01032767,22,2,94,1,2,62,6,138,1145,39,779
2021,Tower Hamlets 025E,E01032768,25,5,82,1,3,71,2,44,995,37,725
2021,Tower Hamlets 025F,E01032769,36,4,84,6,3,76,3,61,851,57,521
2021,Tower Hamlets 032B,E01032770,53,3,96,1,6,122,5,104,1464,75,999
2021,Tower Hamlets 033B,E01032771,29,6,57,2,7,108,6,65,961,58,623
2021,Tower Hamlets 032C,E01032772,48,2,113,3,3,95,7,121,1250,82,776
2021,Tower Hamlets 032E,E01032774,51,4,72,3,1,105,3,76,934,90,529
2021,Tower Hamlets 031F,E01032775,20,5,51,4,5,79,2,52,801,37,546
2021,Tower Hamlets 034D,E01032776,56,4,53,4,2,142,6,92,1364,71,934
2021,Tower Hamlets 035A,E01032777,34,3,77,4,0,99,4,59,752,62,410
2021,Tower Hamlets 035C,E01032779,44,3,46,4,1,102,6,60,891,54,571
2021,Tower Hamlets 035D,E01032780,61,7,68,9,5,144,5,93,1349,65,892
2021,Tower Hamlets 033C,E01032781,33,5,78,0,5,95,9,72,1020,61,662
2021,Tower Hamlets 033D,E01032782,41,13,97,4,2,145,3,95,1402,107,895
2021,Tower Hamlets 031G,E01032783,14,5,65,3,3,127,6,54,724,79,368
2021,Tower Hamlets 004G,E01032784,45,4,142,5,1,116,2,60,1070,76,619
2021,Tower Hamlets 010E,E01032785,41,8,178,3,5,132,5,99,1455,108,876
2021,Tower Hamlets 010F,E01032786,31,7,116,6,4,104,5,85,681,85,238
2021,Tower Hamlets 011F,E01032787,52,13,177,5,7,146,6,141,1064,144,373
2021,Hammersmith and Fulham 023D,E01032788,33,5,88,4,4,121,0,73,948,98,522
2021,Hammersmith and Fulham 023E,E01032789,29,2,98,0,3,81,6,42,671,52,358
2021,Hammersmith and Fulham 023F,E01032790,25,0,48,1,0,66,3,40,514,61,270
2021,Southwark 036C,E01032803,26,4,146,2,2,53,4,83,1086,46,720
2021,Southwark 035C,E01032834,17,5,79,0,1,34,3,49,800,28,584
2021,Hounslow 025F,E01033000,86,18,122,4,2,138,8,75,733,139,141
2021,Hounslow 025G,E01033030,72,43,100,9,0,108,4,66,993,90,501
2021,Hounslow 031D,E01033081,83,5,88,2,1,96,9,47,880,90,459
2021,Hounslow 031C,E01033082,44,10,71,1,0,64,4,36,566,91,245
2021,Hounslow 018F,E01033083,171,19,125,2,6,161,9,59,1149,108,489
2021,Hounslow 018G,E01033084,124,8,137,8,2,147,11,80,894,144,233
2021,Haringey 020F,E01033086,36,7,73,2,3,80,1,50,499,76,171
2021,Wandsworth 038C,E01033098,20,13,128,5,0,78,9,46,1160,56,805
2021,Wandsworth 004E,E01033099,37,7,162,1,2,163,5,81,1236,89,689
2021,Wandsworth 039B,E01033100,37,8,202,4,4,106,14,75,1161,109,602
2021,Wandsworth 038D,E01033132,29,5,171,3,1,122,5,62,1349,92,859
2021,Wandsworth 004G,E01033133,33,4,80,4,2,105,0,45,832,43,516
2021,Wandsworth 010G,E01033135,32,7,53,1,2,81,4,19,755,31,525
2021,Enfield 025F,E01033146,103,15,107,4,2,92,4,56,604,106,115
