date,geography,geography code,Age of arrival in the UK: Arrived in the UK,Age of arrival in the UK: Arrived in the UK: Aged 0 to 4 years,Age of arrival in the UK: Arrived in the UK: Aged 10 to 14 years,Age of arrival in the UK: Arrived in the UK: Aged 15 years,Age of arrival in the UK: Arrived in the UK: Aged 16 to 17 years,Age of arrival in the UK: Arrived in the UK: Aged 18 to 19 years,Age of arrival in the UK: Arrived in the UK: Aged 20 to 24 years,Age of arrival in the UK: Arrived in the UK: Aged 25 to 29 years,Age of arrival in the UK: Arrived in the UK: Aged 30 to 44 years,Age of arrival in the UK: Arrived in the UK: Aged 45 to 59 years,Age of arrival in the UK: Arrived in the UK: Aged 5 to 7 years,Age of arrival in the UK: Arrived in the UK: Aged 60 to 64 years,Age of arrival in the UK: Arrived in the UK: Aged 65 to 74 years,Age of arrival in the UK: Arrived in the UK: Aged 75 to 84 years,Age of arrival in the UK: Arrived in the UK: Aged 8 to 9 years,Age of arrival in the UK: Arrived in the UK: Aged 85 to 89 years,Age of arrival in the UK: Arrived in the UK: Aged 90 years and over,Age of arrival in the UK: Born in the UK,Age of arrival in the UK: Total: All usual residents
2021,Bexley 022D,E01000345,116,22,10,2,6,13,23,13,15,5,5,0,0,0,2,0,0,1228,1344
2021,Bexley 021A,E01000346,159,17,10,2,5,14,41,24,28,8,4,2,1,0,3,0,0,1427,1586
2021,Bexley 021B,E01000347,217,30,12,6,12,18,34,32,38,10,8,2,2,1,12,0,0,1305,1522
2021,Bexley 020A,E01000348,123,21,13,3,1,5,27,20,23,2,5,0,0,0,3,0,0,1395,1518
2021,Bexley 020B,E01000349,213,29,12,1,11,22,40,43,36,4,7,1,0,0,7,0,0,1509,1722
2021,Bexley 021C,E01000350,153,17,11,3,5,6,37,15,39,6,10,2,0,0,2,0,0,1334,1487
2021,Bexley 024A,E01000351,183,26,12,7,9,16,34,37,35,3,3,0,0,0,1,0,0,1428,1611
2021,Bexley 021D,E01000352,258,29,13,4,10,23,51,49,45,11,11,0,0,2,10,0,0,1360,1618
2021,Bexley 011A,E01000353,213,25,16,3,10,16,45,43,38,1,3,1,1,4,7,0,0,1428,1641
2021,Bexley 011B,E01000354,256,25,23,4,8,15,53,55,36,5,16,1,4,1,10,0,0,1237,1493
2021,Bexley 011C,E01000355,187,22,7,2,14,21,38,41,24,7,6,0,1,0,4,0,0,1254,1441
2021,Bexley 009A,E01000356,316,34,24,6,9,14,59,70,71,5,15,1,0,1,7,0,0,1252,1568
2021,Bexley 009B,E01000357,223,37,11,1,13,9,47,40,42,4,11,0,0,0,8,0,0,1176,1399
2021,Bexley 011D,E01000358,308,30,26,8,8,28,67,53,60,9,9,3,1,0,5,1,0,1347,1655
2021,Bexley 009C,E01000359,218,25,10,8,5,19,48,51,36,3,9,1,0,0,3,0,0,1043,1261
2021,Bexley 015A,E01000360,503,33,41,5,13,31,100,85,129,27,22,4,4,0,9,0,0,1408,1911
2021,Bexley 020C,E01000361,215,22,10,4,3,17,64,40,29,10,6,2,3,0,5,0,0,1376,1591
2021,Bexley 015B,E01000362,346,39,27,3,17,27,63,64,67,11,15,1,0,2,10,0,0,1518,1864
2021,Bexley 020D,E01000363,296,27,17,6,7,7,59,75,53,8,14,5,3,1,14,0,0,1269,1565
2021,Bexley 023A,E01000364,335,42,17,9,10,17,63,70,64,12,19,0,0,1,11,0,0,1365,1700
2021,Bexley 015C,E01000365,347,36,24,7,13,17,54,69,83,16,7,5,4,1,10,1,0,1382,1729
2021,Bexley 015D,E01000366,378,41,28,5,18,21,76,76,76,8,17,2,2,0,8,0,0,1262,1640
2021,Bexley 010A,E01000367,570,43,45,10,22,39,114,103,128,30,16,1,7,2,10,0,0,1696,2266
2021,Bexley 010B,E01000368,290,28,14,2,12,19,55,73,61,13,7,1,1,0,4,0,0,1387,1677
2021,Bexley 014C,E01000369,270,29,17,2,9,14,46,52,64,16,12,0,3,0,6,0,0,1457,1727
2021,Bexley 014D,E01000370,258,32,15,7,11,12,49,57,49,12,3,1,5,1,4,0,0,1300,1558
2021,Bexley 014E,E01000371,200,19,8,6,8,10,47,54,29,5,4,0,3,1,6,0,0,1420,1620
2021,Bexley 010C,E01000372,339,26,22,7,23,25,86,55,65,9,8,2,1,0,10,0,0,1350,1689
2021,Bexley 008A,E01000373,412,27,22,11,14,26,101,85,76,18,15,5,1,0,11,0,0,913,1325
2021,Bexley 019A,E01000374,319,33,16,6,15,19,63,74,57,17,11,1,3,0,4,0,0,1261,1580
2021,Bexley 019B,E01000375,502,55,15,6,17,34,96,103,121,18,19,3,5,1,9,0,0,1626,2128
2021,Bexley 019C,E01000376,295,26,13,4,11,18,69,72,55,12,4,1,4,2,4,0,0,1320,1615
2021,Bexley 019D,E01000377,187,20,15,1,6,10,44,30,34,7,9,0,2,0,9,0,0,1287,1474
2021,Bexley 019F,E01000379,296,31,23,3,11,21,52,45,74,10,18,2,3,0,3,0,0,1416,1712
2021,Bexley 010D,E01000380,262,27,17,9,10,21,50,41,63,7,7,0,3,0,7,0,0,1476,1738
2021,Bexley 028A,E01000381,163,20,10,3,6,6,42,31,36,4,1,1,2,0,1,0,0,1453,1616
2021,Bexley 027A,E01000382,191,20,8,3,9,15,46,45,24,1,13,0,2,4,1,0,0,1382,1573
2021,Bexley 028B,E01000383,192,31,14,3,6,16,35,32,29,10,9,1,0,0,6,0,0,1400,1592
2021,Bexley 027B,E01000384,247,21,21,3,7,22,45,47,53,12,11,2,0,0,3,0,0,1473,1720
2021,Bexley 028C,E01000385,346,30,23,4,14,26,65,71,73,14,12,0,0,1,13,0,0,1657,2003
2021,Bexley 028D,E01000386,319,30,24,7,16,15,51,70,73,17,8,2,0,0,6,0,0,1218,1537
2021,Bexley 027C,E01000387,189,27,12,3,7,15,38,29,36,6,9,0,1,0,6,0,0,1366,1555
2021,Bexley 016A,E01000388,317,27,16,3,15,18,62,66,78,5,9,5,0,0,13,0,0,1197,1514
2021,Bexley 020E,E01000389,335,43,26,6,16,16,69,54,69,9,13,0,2,1,11,0,0,1362,1697
