date,geography,geography code,Sex: All persons,Sex: Female,Sex: Male
2021,Bexley 015B,E01000362,1864,991,873
2021,Bexley 020D,E01000363,1559,811,748
2021,Bexley 023A,E01000364,1698,848,850
2021,Bexley 015C,E01000365,1728,939,789
2021,Bexley 015D,E01000366,1640,838,802
2021,Bexley 010A,E01000367,2266,1193,1073
2021,Bexley 010B,E01000368,1680,922,758
2021,Bexley 014C,E01000369,1727,917,810
2021,Bexley 014D,E01000370,1558,788,770
2021,Bexley 014E,E01000371,1620,855,765
2021,Bexley 010C,E01000372,1689,887,802
2021,Bexley 008A,E01000373,1325,696,629
2021,Bexley 019A,E01000374,1579,829,750
2021,Bexley 019B,E01000375,2128,1084,1044
2021,Bexley 019C,E01000376,1614,840,774
2021,Bexley 019D,E01000377,1472,751,721
2021,Bexley 019F,E01000379,1712,869,843
2021,Bexley 010D,E01000380,1736,883,853
2021,Bexley 028A,E01000381,1617,850,767
2021,Bexley 027A,E01000382,1573,806,767
2021,Bexley 028B,E01000383,1593,823,770
2021,Bexley 027B,E01000384,1721,928,793
2021,Bexley 028C,E01000385,2006,1083,923
2021,Bexley 028D,E01000386,1537,851,686
2021,Bexley 027C,E01000387,1558,805,753
2021,Bexley 016A,E01000388,1513,781,732
2021,Bexley 020E,E01000389,1700,862,838
2021,Bexley 020F,E01000390,1332,688,644
2021,Bexley 021E,E01000391,1748,932,816
2021,Bexley 016B,E01000392,1955,1006,949
2021,Bexley 020G,E01000393,1695,864,831
2021,Bexley 015E,E01000394,1628,868,760
2021,Bexley 018B,E01000395,1529,761,768
2021,Bexley 018C,E01000396,1452,712,740
2021,Bexley 029A,E01000398,1593,817,776
2021,Bexley 029B,E01000399,1571,806,765
2021,Bexley 029C,E01000400,1573,809,764
2021,Bexley 013A,E01000401,1814,995,819
2021,Bexley 005B,E01000402,1605,852,753
2021,Bexley 004A,E01000403,2403,1300,1103
2021,Bexley 004B,E01000404,2423,1294,1129
2021,Bexley 004C,E01000405,1576,826,750
2021,Bexley 005C,E01000406,2144,1092,1052
2021,Bexley 005D,E01000407,1870,963,907
2021,Bexley 004D,E01000408,1774,903,871
2021,Bexley 016C,E01000409,1742,914,828
2021,Bexley 018D,E01000410,1658,846,812
2021,Bexley 016D,E01000411,1494,754,740
2021,Bexley 018E,E01000412,1766,896,870
2021,Bexley 018F,E01000413,1347,688,659
2021,Bexley 016E,E01000414,1894,955,939
2021,Bexley 016F,E01000415,1465,735,730
