indicator_id,title,topic,source_key,source_name,source_file_or_api,source_geography,geography_version,source_period,time_coverage,latest_period_available,history_available,unit,value_field,numerator_field,denominator_field,aggregation_method,benchmark_method,polarity,caveats,last_refresh_date,review_required,qof_group_code,qof_group_description,qof_indicator_code,qof_metric_kind,qof_domain,qof_sub_domain,qof_patient_list_type
qof_pcas_qipddmi004,Prescription dependency: Z-drug long-term prescriptions reviewed (personalised care adjustments),Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2022/23,2022/23,2022/23,False,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Indicative neighbourhood estimate of personalised care adjustment activity derived from GP-practice data rather than a directly observed resident measure.,2026-03-23,False,QIPDD_MI,Prescription Drug Dependency (management information),QIPDDMI004,pcas,Quality improvement,,18OV
qof_pcas_ra002,Rheumatoid arthritis: disease activity score reviewed in last 12 months (personalised care adjustments),Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2022/23,2021/22 to 2022/23,2022/23,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Indicative neighbourhood estimate of personalised care adjustment activity derived from GP-practice data rather than a directly observed resident measure.,2026-03-23,False,RA,Rheumatoid arthritis,RA002,pcas,Clinical,,16OV
qof_pcas_smok002,Smoking: cessation advice offered (patients with high-risk conditions) (personalised care adjustments),Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,2021/22 to 2024/25,2024/25,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Indicative neighbourhood estimate of personalised care adjustment activity derived from GP-practice data rather than a directly observed resident measure.,2026-03-23,False,SMOK,Smoking,SMOK002,pcas,Public Health,Public Health,15OV
qof_pcas_smok004,Smoking: cessation referral offered to all current smokers (personalised care adjustments),Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,2021/22 to 2024/25,2024/25,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Indicative neighbourhood estimate of personalised care adjustment activity derived from GP-practice data rather than a directly observed resident measure.,2026-03-23,False,SMOK,Smoking,SMOK004,pcas,Public Health,Public Health,15OV
qof_pcas_smok005,"Smoking: cessation support offered (CVD, respiratory or cancer conditions) (personalised care adjustments)",Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,2021/22 to 2024/25,2024/25,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Indicative neighbourhood estimate of personalised care adjustment activity derived from GP-practice data rather than a directly observed resident measure.,2026-03-23,False,SMOK,Smoking,SMOK005,pcas,Public Health,Public Health,15OV
qof_pcas_stia007,Stroke and TIA: antiplatelet or anticoagulant therapy prescribed (personalised care adjustments),Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,2021/22 to 2024/25,2024/25,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Indicative neighbourhood estimate of personalised care adjustment activity derived from GP-practice data rather than a directly observed resident measure.,2026-03-23,False,STIA,Stroke and transient ischaemic attack,STIA007,pcas,Clinical,Clinical,TOTAL
qof_pcas_stia010,Stroke and TIA: blood pressure recorded in last 12 months (personalised care adjustments),Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2022/23,2021/22 to 2022/23,2022/23,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Indicative neighbourhood estimate of personalised care adjustment activity derived from GP-practice data rather than a directly observed resident measure.,2026-03-23,False,STIA,Stroke and transient ischaemic attack,STIA010,pcas,Clinical,,79UN
qof_pcas_stia011,Stroke and TIA: total cholesterol recorded in last 12 months (personalised care adjustments),Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2022/23,2021/22 to 2022/23,2022/23,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Indicative neighbourhood estimate of personalised care adjustment activity derived from GP-practice data rather than a directly observed resident measure.,2026-03-23,False,STIA,Stroke and transient ischaemic attack,STIA011,pcas,Clinical,,80OV
qof_pcas_stia014,Stroke and TIA: blood pressure target achieved (age 79 and under) (personalised care adjustments),Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,2023/24 to 2024/25,2024/25,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Indicative neighbourhood estimate of personalised care adjustment activity derived from GP-practice data rather than a directly observed resident measure.,2026-03-23,False,STIA,Stroke and transient ischaemic attack,STIA014,pcas,Clinical,Clinical,79UN
qof_pcas_stia015,Stroke and TIA: blood pressure target achieved (age 80 and over) (personalised care adjustments),Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,2023/24 to 2024/25,2024/25,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Indicative neighbourhood estimate of personalised care adjustment activity derived from GP-practice data rather than a directly observed resident measure.,2026-03-23,False,STIA,Stroke and transient ischaemic attack,STIA015,pcas,Clinical,Clinical,80OV
